 | Name and link | Description | Type | Language | Visibility | Reviewed for sensitivity | 
 | [Get-FormFactors](https://github.com/engrit-illinois/Get-FormFactors) | Gets form factor and other info (WMI Win32_SystemEnclosure and Win32_ComputerSystem classes) from remote endpoints | info gathering/reporting | Powershell | Public | Yes | 
 | [misc-handy-powershell-examples](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/misc-handy-powershell-examples) | Long list of misc syntax, cmdlets, and snippets I've found handy over the years | misc | Powershell | Private | No | 
 | [org-shared-deployments](https://gitlab.engr.illinois.edu/engrit-epm/org-shared-deployments) | Standardization of MECM collections and deployments across the college | standardization auditing, bulk manipulation, scripting of repetitive processes | Powershell | Public | Yes | 
 | [Audit-StaleADComputersInOU](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Audit-StaleADComputersInOU) | Auditing of "stale" AD computer accounts, and bulk remediation | standardization auditing, bulk manipulation, scripting of repetitive processes | Powershell | Private | No | 
 | [bcdedit-revert-uefi-gpt-boot-order](https://github.com/mmseng/bcdedit-revert-uefi-gpt-boot-order) | Automating the correction of Windows UEFI boot order after installation of Windows modifies it | scripting of repetitive processes | Powershell | Public | Yes | 
 | [Compare-AssignmentRevisions](https://gitlab.engr.illinois.edu/engrit-epm/compare-assignmentrevisions) | Collects MECM client data directly from mass endpoints for analysis to identify issues related to deployment bugs in MECM | auditing, info gathering/reporting | Powershell | Public | Yes | 
 | [count-ad-objects](https://gitlab.engr.illinois.edu/engrit-epm/sccm-ts-scripts/-/blob/master/count-ad-objects.ps1) | Identify whether a computer already exists in AD for the purposes of using logic in an MECM task sequence | validation | Powershell | Public | Yes | 
 | [Covidize-LabOU](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Covidize-LabOU) | Automation of refactoring AD OUs and GPOs to facilitate segregated remote access for COVID remote work purposes | scripting of repetitive processes | Powershell | Private | No | 
 | [force-mecm-baseline-evaluation](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/force-mecm-baseline-evaluation) | Force the local MECM client (or a list of remote MECM clients) to re-evaluate assignments. Credit goes to UIUC Endpoint Services (EPS) team. | workaround | Powershell | Private | No | 
 | [force-software-center-assignment-evaluation](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/force-software-center-assignment-evaluation) | Force a list of remote MECM client to re-evaluate their configuration baselines | workaround | Powershell | Private | No | 
 | [Export-PrintServerPrinters](https://gitlab.engr.illinois.edu/engrit-epm/export-printserverprinters) | Grabs printer data from our print servers, and dumps it to a CSV format, suitable for consumption by my PrinterStatus webtool (mentioned below). | automation, info gathering/reporting | Powershell | Public | Yes | 
 | [Get-AppSupersedence](https://gitlab.engr.illinois.edu/engrit-epm/get-appsupersedence) | Analyzes data from MECM to identify mis-configured application packages, which cause deployment issues | auditing, info gathering/reporting | Powershell | Public | Yes | 
 | [Get-CobblerSystems](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Get-CobblerSystems) | Retrieve all Linux system information from Cobbler instance | info gathering/reporting | Powershell | Private | No | 
 | [Get-SccmEngrPrefixes](https://gitlab.engr.illinois.edu/engrit-epm/get-sccmengrprefixes) | Retrieve all ENGR computer name prefixes used by MECM to determine which unit's All-Systems collection should receive newly imported computer objects | info gathering/reporting | Powershell | Public | Yes | 
 | [Helptools Importer](https://gitlab.engr.illinois.edu/engrit-epm/helptools-importer) | Web-based tool (leveraging Jenkins) for automation of importing new computer information to AD, MECM, and IPAM | webtool, automation, workflow | Powershell, Jenkins, CSS, Groovy | Private | No | 
 | [msi-app-uninstall](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/blob/master/msi-app-uninstall/msi-app-uninstall.ps1) | Uninstall MSI-based apps. Designed primarily to blow away BigFix/IEM client installations on endpoints. | scripting of repetitive processes | Powershell | Private | No | 
 | [Ping-All](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Ping-All) | Asynchronously ping multiple computers. Useful for instantaneously checking the availability of all computers in a given lab | scripting of repetitive processes, info gathering/reporting | Powershell | Private | No | 
 | [Ping-OverTime](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Ping-OverTime) | Ping a machine continuously, logging when it stops and starts responging. Useful for monitoring up/down status during operations which require reboots | scripting of repetitive processes, info gathering/reporting | Powershell | Private | No | 
 | [powershell-profile-example](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/powershell-profile-example) | Example of useful code for a powershell profile (specifically stuff I use in mine) | misc | Powershell | Private | No | 
 | [PrinterStatus](https://helptools.engrit.illinois.edu/tools/printerstatus/) | One-stop-shop web-based status monitoring (leveraging the SNMP protocol) for all of the college's printers | webtool, info gathering/reporting, workflow | PHP, Powershell | Private | No | 
 | [PWResetV2](Contact for more information.) | Resetting of administrator account passwords as securely as possible without leveraging something like LAPS | scripting of repetitive processes | Powershell | Private | No | 
 | [Report-AMTStatus](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Report-AMTStatus) | Gathers AMT state information from endpoints | scripting of repetitive processes, info gathering/reporting | Powershell | Private | No | 
 | [Report-ProductVersion](https://gitlab.engr.illinois.edu/engrit-epm/report-productversion) | Directly polls endpoints to identify where certain applications are installed, and what the installed version is | info gathering/reporting | Powershell | Public | Yes | 
 | [Validate-Win7ESUCompat](https://gitlab.engr.illinois.edu/oesr/official_engrit_script_repo/-/tree/master/Validate-Win7ESUCompat) | Auditing readiness of Win7 systems to accept Extended Service Updates (ESUs) | validation, info gathering/reporting | Powershell | Private | No | 
